City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
568,Margate,GB,51.3813,1.3862,47.97,78,100,3.0,overcast clouds
569,Vardo,NO,70.3705,31.1107,28.15,100,100,4.61,snow
570,Tetouan,MA,35.5711,-5.3724,59.88,74,46,13.4,scattered clouds
571,Muravlenko,RU,63.7898,74.523,-0.98,99,93,9.44,overcast clouds
572,Gold Coast,AU,-28.0,153.4333,75.0,90,75,1.01,broken clouds
573,Unity,CA,52.4501,-109.1682,14.25,86,85,7.0,overcast clouds
574,Yashkul,RU,46.1711,45.3435,26.74,84,96,5.26,overcast clouds
575,Tonantins,BR,-2.8731,-67.8022,85.26,78,100,3.47,overcast clouds
576,Ville-Marie,CA,47.3335,-79.433,-22.0,82,96,1.41,overcast clouds
577,Omboue,GA,-1.5746,9.2618,80.76,76,53,6.67,broken clouds
578,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,77,44,13.87,scattered clouds
579,Tateyama,JP,34.9833,139.8667,43.11,63,78,11.77,broken clouds
580,Inongo,CD,-1.95,18.2667,81.86,59,69,0.47,broken clouds
581,Itaueira,BR,-7.6033,-43.0256,80.33,67,94,2.77,light rain
582,Nishihara,JP,26.1842,127.7558,65.48,78,100,10.36,overcast clouds
583,Raudeberg,NO,61.9875,5.1352,37.96,92,100,10.0,light rain
584,Kieta,PG,-6.2167,155.6333,78.84,78,100,2.8,light rain
585,Caravelas,BR,-17.7125,-39.2481,86.27,57,18,10.18,few clouds
586,Totonicapan,GT,14.9167,-91.3667,61.79,34,0,2.33,clear sky
587,Mapiripan,CO,2.8892,-72.1256,95.95,22,87,11.61,overcast clouds
588,Ruteng,ID,-8.6136,120.4721,62.8,91,100,1.28,overcast clouds
589,Bikin,RU,46.8161,134.26,-5.01,93,97,5.12,overcast clouds
590,Madaoua,NE,14.073,5.96,80.38,13,5,14.18,clear sky
591,Manzanillo,CU,20.3433,-77.1167,84.47,45,0,5.82,clear sky
592,Xingyi,CN,24.1877,102.817,48.29,72,71,4.41,broken clouds
593,Baroy,PH,8.0269,123.7784,74.55,92,70,0.4,broken clouds
594,Pitimbu,BR,-7.4706,-34.8086,84.79,62,47,10.25,scattered clouds
595,Riyadh,SA,24.6877,46.7219,55.54,29,1,9.31,clear sky
596,Zhigansk,RU,66.7697,123.3711,-18.89,95,79,12.84,broken clouds
597,Mariental,NA,-24.6333,17.9667,90.05,24,58,10.13,broken clouds
598,Tran,BG,42.8353,22.6517,34.45,95,64,5.37,broken clouds
599,Harper,LR,4.375,-7.7169,83.64,67,80,12.26,broken clouds
600,Srandakan,ID,-7.9386,110.2506,76.3,87,97,3.47,overcast clouds
601,Mumford,GH,5.2618,-0.759,82.98,67,85,11.25,overcast clouds
602,Kushima,JP,31.4583,131.2333,50.63,72,89,6.85,overcast clouds
603,Aksu,CN,41.1231,80.2644,24.21,47,28,3.2,scattered clouds
